Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","11,768.15","11,871.85","11,757.55","11,847.55","51.10","0.43","3,278.85","14,650.72","12,103.05","10,004.55","10.08","-0.65"
"VEDL","169.10","179.35","168.75","179.00","8.65","5.08","111.45","193.02","246.90","145.80","-22.39","7.51"
"JSWSTEEL","263.60","277.80","263.35","277.80","10.75","4.03","69.25","187.67","427.55","252.65","-16.35","-3.46"
"POWERGRID","201.45","210.95","201.05","208.70","7.10","3.52","175.40","364.70","210.95","172.50","7.47","11.40"
"SUNPHARMA","385.00","403.55","384.65","398.70","12.95","3.36","95.72","380.49","679.30","344.55","-30.27","-3.89"
"HINDALCO","201.50","208.95","201.05","208.80","6.30","3.11","67.30","137.81","259.75","182.20","-4.40","4.09"
"TATASTEEL","495.00","512.30","490.30","511.35","13.35","2.68","129.60","650.08","647.60","441.35","-8.46","-0.23"
"UPL","931.00","963.80","922.10","957.00","22.05","2.36","33.65","318.26","1,043.75","537.25","50.91","-6.58"
"YESBANK","109.00","114.65","108.40","112.35","2.30","2.09","728.80","816.91","404.00","98.70","-66.38","-23.47"
"GRASIM","897.10","920.00","897.10","919.95","17.80","1.97","18.30","166.89","1,093.00","689.10","-8.60","-1.64"
"DRREDDY","2,534.95","2,587.45","2,512.70","2,580.00","43.95","1.73","5.01","128.63","2,964.00","1,872.95","12.66","-2.93"
"ADANIPORTS","405.40","417.60","404.00","412.25","6.60","1.63","33.28","137.53","430.60","292.10","14.15","-0.04"
"HDFCBANK","2,424.70","2,470.00","2,422.00","2,465.00","36.30","1.49","26.33","644.88","2,470.00","1,885.00","17.66","2.35"
"LT","1,533.00","1,563.75","1,529.00","1,557.00","22.00","1.43","27.89","433.10","1,607.00","1,182.50","22.78","-2.44"
"BAJFINANCE","3,569.85","3,635.00","3,563.00","3,629.00","49.15","1.37","9.79","352.77","3,635.00","1,912.20","51.80","5.22"
"NTPC","139.50","141.90","139.30","140.35","1.90","1.37","246.44","346.69","146.17","106.67","-9.25","5.37"
"CIPLA","550.00","558.80","548.00","556.85","6.80","1.24","10.21","56.69","678.45","483.75","-8.92","-3.78"
"ICICIBANK","432.50","440.00","432.50","438.20","4.55","1.05","122.61","536.52","440.00","256.50","51.26","0.62"
"BAJAJFINSV","8,339.70","8,437.95","8,304.10","8,422.00","75.85","0.91","1.18","98.77","8,474.00","4,955.00","36.60","2.54"
"BAJAJ-AUTO","2,839.95","2,881.35","2,814.00","2,867.25","23.55","0.83","2.65","75.85","3,194.95","2,420.00","2.35","-6.51"
"AXISBANK","782.90","792.00","781.70","787.80","6.15","0.79","87.16","687.22","827.75","498.75","52.91","-3.21"
"KOTAKBANK","1,485.00","1,496.00","1,475.35","1,494.90","11.00","0.74","22.10","328.51","1,555.90","1,002.20","12.57","-2.26"
"COALINDIA","257.90","263.25","257.15","260.20","1.85","0.72","40.31","105.22","299.75","211.40","0.46","6.60"
"INFRATEL","269.00","272.00","267.50","271.65","1.85","0.69","14.95","40.39","335.00","242.25","-6.95","-2.83"
"ONGC","166.10","169.15","166.10","167.35","1.15","0.69","59.79","100.30","185.40","127.60","6.83","-3.63"
"WIPRO","285.15","288.00","284.55","286.55","1.25","0.44","23.32","66.76","301.60","190.65","11.28","2.16"
"M&M","640.00","647.50","640.00","643.55","1.90","0.30","21.25","137.00","993.00","597.20","-28.94","-5.27"
"TATAMOTORS","160.10","162.20","158.75","160.90","0.45","0.28","184.81","296.88","306.30","129.00","-44.40","-11.28"
"SBIN","355.75","359.00","354.30","357.40","0.85","0.24","158.36","565.44","364.00","247.40","33.13","-1.19"
"IOC","153.10","155.65","152.55","154.95","0.35","0.23","62.77","96.78","171.80","105.25","-7.41","-4.47"
"HINDUNILVR","1,753.00","1,765.00","1,746.40","1,759.00","2.55","0.15","10.75","188.84","1,869.50","1,477.20","8.91","-0.73"
"EICHERMOT","19,050.10","19,325.00","19,050.10","19,121.10","4.25","0.02","0.82","156.70","29,800.00","18,205.00","-35.05","-8.46"
"ULTRACEMCO","4,585.20","4,634.00","4,581.05","4,595.15","-0.90","-0.02","4.44","204.72","4,904.95","3,260.45","22.47","-5.08"
"GAIL","311.00","311.40","307.00","309.25","-0.45","-0.15","43.49","134.28","399.40","295.25","-9.36","-11.22"
"HCLTECH","1,072.20","1,092.65","1,072.20","1,076.60","-2.40","-0.22","16.39","177.36","1,187.60","904.00","18.45","1.17"
"ZEEL","340.00","346.30","338.90","342.40","-0.80","-0.23","57.68","197.80","569.80","288.30","-38.75","-5.15"
"ASIANPAINT","1,360.00","1,369.55","1,352.00","1,360.00","-3.10","-0.23","9.60","130.83","1,529.85","1,118.00","8.50","-0.50"
"RELIANCE","1,291.00","1,304.60","1,286.35","1,291.90","-3.95","-0.30","53.00","686.81","1,417.50","940.30","28.62","-1.43"
"HDFC","2,165.00","2,180.60","2,153.70","2,164.25","-8.55","-0.39","21.31","461.60","2,235.00","1,644.50","14.28","-0.05"
"HEROMOTOCO","2,577.00","2,603.95","2,557.80","2,573.50","-11.15","-0.43","4.71","121.40","3,670.00","2,475.00","-28.25","-8.78"
"ITC","278.45","278.70","276.35","277.20","-1.30","-0.47","74.21","205.93","322.95","259.00","5.56","-4.69"
"BPCL","387.50","393.60","386.10","391.20","-1.90","-0.48","32.66","127.15","425.00","238.55","-5.05","-2.69"
"TCS","2,265.00","2,266.80","2,250.00","2,253.05","-14.75","-0.65","17.62","398.12","2,292.50","1,784.35","23.84","9.63"
"TITAN","1,312.60","1,322.90","1,306.65","1,308.35","-9.80","-0.74","13.36","175.40","1,322.90","732.30","51.43","5.43"
"MARUTI","6,519.00","6,557.80","6,460.10","6,468.00","-54.50","-0.84","5.72","372.06","9,929.00","6,317.70","-26.44","-8.49"
"TECHM","721.30","730.85","716.40","718.15","-6.20","-0.86","27.82","200.97","846.50","612.40","3.16","-1.09"
"BHARTIARTL","350.00","352.00","342.55","345.50","-3.10","-0.89","46.46","161.14","366.95","253.99","-7.66","-1.14"
"INDUSINDBK","1,450.00","1,452.60","1,427.25","1,433.00","-16.65","-1.15","24.79","356.72","2,038.00","1,333.15","-27.26","-11.15"
"INFY","743.00","751.45","738.00","739.40","-8.70","-1.16","54.47","405.02","773.00","599.85","-41.89","4.42"
"IBULHSGFIN","612.00","622.90","602.05","610.75","-10.80","-1.74","155.99","955.64","1,397.00","487.85","-48.79","-22.88"
"BRITANNIA","2,805.00","2,813.45","2,700.00","2,729.00","-78.70","-2.80","13.88","380.47","3,467.18","2,615.85","-54.34","-5.78"

